relative_path,readable,integrity_error,truncated_warning,width,height,aspect_ratio,channels_or_mode,image_format,file_size_bytes,audit_status,review_reason
Non-Venomous/Checkered Keelback/checkered-keelback-xenochrophis-piscator-non-venomous-common-paniwala-AX0A6G.jpg,True,,False,1300,960,1.354167,RGB,JPEG,128768,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-xenochrophis-piscator-non-venomous-common-scavenging-b31r66.jpg,True,,False,640,446,1.434978,RGB,JPEG,64583,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-xenochrophis-piscator-ranthambhore-national-park-ajyt7g.jpg,True,,False,640,445,1.438202,RGB,JPEG,84812,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelback_001.jpg,True,,False,800,264,3.030303,RGB,JPEG,130643,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback_002.jpg,True,,False,599,356,1.682584,RGB,JPEG,39778,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelback_003.jpg,True,,False,3000,1995,1.503759,RGB,JPEG,1139899,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-keelback_004.jpg,True,,False,494,347,1.423631,RGB,JPEG,281243,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-keelback_in_IIT_Bombay.JPG,True,,False,1000,750,1.333333,RGB,JPEG,187103,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelbacks-2.jpg,True,,False,1024,456,2.245614,RGB,JPEG,158503,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelbacks-4.jpg,True,,False,1024,483,2.120083,RGB,JPEG,166438,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelbacks-6.jpg,True,,False,1024,511,2.003914,RGB,JPEG,186831,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
